Product,Product Group
VMware Horizon DaaS Bundle - VDI Edition -- 14 Points,Horizon
VMware Horizon DaaS Bundle - VDI Edition -- 8.2pts,Horizon
VMware Horizon DaaS Bundle - VDI Edition-Special,Horizon
VMware Horizon DaaS Bundle - VDI Edition-Special-Nifty,Horizon
VMware Horizon Enterprise Edition,Horizon
VMware Horizon for Linux,Horizon
VMware Horizon Mirage,Horizon
VMware Horizon Standard : 100 Pack (CCU),Horizon
VMware Horizon View - per Desktop VM,Horizon
VMware Horizon View Foundation - Formerly View Enterprise,Horizon
VMware Horizon View Premier Bundle - 100 Pack,Horizon
VMware Horizon View Standard - Formerly View Premier,Horizon
VMware Horizon View Standard - Formerly View Premier - 6.4pts,Horizon
VMware Horizon View Standard Edition: 100 Pack,Horizon
VMware Horizon Workspace,Horizon
VMware ThinApp Client,Horizon
VMware ThinApp Client (vCAN),Horizon
VMware User Environment Manager,Horizon
VMware User Environment Manager - Special,Horizon
VMware View Enterprise,Horizon
VMware Workstation,Horizon
VMware IT Business Management Suite Enterprise for Additional Users,ITBM
VMware IT Business Management Suite Enterprise Foundation Package,ITBM
Cisco Nexus 1000V,Legacy
vFabric Data Director,Legacy
VMware vCloud Networking and Security Advanced,Legacy
VMware vSphere Data Protection Advanced,Legacy
VMware vSphere Storage Appliance,Legacy
Zimbra Collaboration Server Business Email Edition,Legacy
Zimbra Collaboration Server Business Email Edition Plus,Legacy
Zimbra Collaboration Server Professional,Legacy
*DO NOT USE*,No Group
Cancellation True-Up,No Group
Compliance Check Get Well Payment,No Group
Miscellaneous Point Reporting,No Group
Unsupported product catch up SKU,No Group
VMW-NSX-V - (vSphere) Special,NSX
VMW-NSX-V - (vSphere) Special - Softlayer,NSX
VMware NSX - Pilot,NSX
VMware NSX for vSPhere (special measure),NSX
VMware NSX-MH - (Multi-Hypervisor),NSX
"VMware NSX-MH - (Multi-Hypervisor)  for 1 – 25,000 Virtual Machines/Month",NSX
VMware NSX-MH - (Multi-Hypervisor) (End of Life 30sep2016),NSX
VMware NSX-MH - (Multi-Hypervisor) (End of Life 31Mar2017),NSX
VMware NSX-MH - (Multi-Hypervisor) (End of Life 31may2017),NSX
"VMware NSX-MH - (Multi-Hypervisor) 100,001 – 250,000 Virtual Machines/Month",NSX
"VMware NSX-MH - (Multi-Hypervisor) for 25,001 – 100,000 Virtual Machines/Month",NSX
VMware NSX-V  - (vSphere) (End of Life 30Sept2016),NSX
VMware vCloud NSX Advance Commercial,NSX
VMware vCloud NSX Advanced for Desktop Commercial,NSX
VMware vCloud NSX base Commercial,NSX
VMware vCloud NSX Enterprise Commercial,NSX
VMware vCloud NSX Enterprise for Desktop Commercial,NSX
"U.S. Federal VCAN PrePay Plan, burn down underage",PrePay
"U.S. Federal VCAN PrePay Plan, Rental burn down",PrePay
"VCAN PrePay Plan, burn down underage",PrePay
"VCAN PrePay Plan, Rental burn down",PrePay
1 day TAM,PSO
2 day TAM for CUST plan,PSO
PSO Custom T&M/SOW,PSO
TAM 2 day PayGo,PSO
VMWare Software Defined Data Center Manager,SDDC Manager
U.S. Federal VMware Site Recovery Manager,SRM
US Federal VMware Site Recovery Manager (vCAN),SRM
VMware Desktop Disaster Recovery for Horizon DaaS Bundles,Horizon
VMware Site Recovery Manager,SRM
VMware Site Recovery Manager  Enterprise (25 VM Pack),SRM
VMware Site Recovery Manager (vCAN),SRM
"VMware Site Recovery Manager Special for Rackspace US, Inc",SRM
VMware Site Recovery Manager-Special,SRM
VMware vCenter Site Recovery Manager 6 Enterprise (25 VM Pack),SRM
vCloud Service Provider Bundle - Standard - special pricing,Bundle
VMware vCloud Availability for vCloud Director,vCloud Availability
VMware vCloud Availability for vCloud Director - Special pricing,vCloud Availability
U.S. Federal VMware vRealize Automation Enterprise (formerly US Federal VMware vCloud Automation Center Enterprise Edition),vRealize Automation
VMware vRealize Automation Advanced,vRealize Automation
VMware vRealize Automation Advanced (formerly VMware vCloud Automation Center Advanced Edition),vRealize Automation
VMware vRealize Automation Enterprise,vRealize Automation
VMware vRealize Automation Enterprise (formerly VMware vCloud Automation Center Enterprise Edition),vRealize Automation
VMware vRealize Automation Standard (Per CPU),vRealize Automation
VMware vRealize Business Advanced for Read Only Users,vRealize Business
VMware vRealize Business Advanced Foundation Package,vRealize Business
VMware vRealize Business Enterprise Foundation Package,vRealize Business
VMware vRealize Business for Cloud Advanced,vRealize Business
US Federal VMware vCenter Log Insight,vRealize Log Insight
VMware vCenter Log Insight,vRealize Log Insight
VMware vCenter Log Insight - special,vRealize Log Insight
VMware vRealize Log Insight,vRealize Log Insight
VMware vRealize Log Insight - Special,vRealize Log Insight
US Federal VMware vRealize Network Insight,vRealize Network Insight
VMWARE VREALIZE NETWORK INSIGHT,vRealize Network Insight
US Federal VMware vRealize Operations Manager Enterprise Edition,vRealize Operations
US Federal VMware vRealize Operations Manager Standard Edition,vRealize Operations
VMware vCenter Operations Management Suite Advanced Edition - special,vRealize Operations
VMware vFabric Hyperic,vRealize Operations
VMware vFabric Hyperic (vCAN),vRealize Operations
VMware vRealize Hyperic 5 Perpetual License (Per Machine),vRealize Operations
vMware vRealize Operations 6 Standard,vRealize Operations
VMware vRealize Operations Advanced,vRealize Operations
VMware vRealize Operations Advanced (25 OSI Pack),vRealize Operations
VMware vRealize Operations Advanced at 2pts,vRealize Operations
VMware vRealize Operations Advanced for Swisscom AG,vRealize Operations
VMware vRealize Operations Advanced-special for IDC Frontier Inc,vRealize Operations
VMware vRealize Operations Enterprise - Special,vRealize Operations
"VMware vRealize Operations Enterprise-Separate line for Rackspace US, Inc",vRealize Operations
VMware vRealize Operations for Horizon: 100 Concurrent User Pack,vRealize Operations
VMware vRealize Operations Manager Advanced Edition,vRealize Operations
VMware vRealize Operations Manager Enterprise Edition,vRealize Operations
VMware vRealize Operations Manager Standard Edition,vRealize Operations
VMware vRealize Operations Standard,vRealize Operations
