No,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,取引価格（総額）,坪単価,間取り,面積（�u）,取引価格（�u単価）,土地の形状,間口,延床面積（�u）,建築年,建物の構造,建物の用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,備考
1,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,9,75000000,,３ＬＤＫ,75,,,,,平成14年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成29年第１四半期,未改装を購入
2,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,4000000,,１ＤＫ,35,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成28年第３四半期,未改装を購入
3,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,57000000,,２ＬＤＫ,65,,,,,平成11年,ＲＣ,住宅,住宅,,,,商業地域,80,500,平成28年第３四半期,未改装を購入
4,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,31000000,,１Ｋ,30,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成28年第２四半期,未改装を購入
5,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,20000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成28年第１四半期,未改装を購入
6,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,96000000,,オープンフロア,85,,,,,平成5年,ＳＲＣ,事務所,事務所,,,,第１種住居地域,60,300,平成27年第３四半期,
7,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,24000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成27年第３四半期,未改装を購入
8,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,19000000,,２ＤＫ,45,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成27年第３四半期,未改装を購入
9,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,380000000,,オープンフロア,340,,,,,平成5年,ＳＲＣ,事務所,事務所,,,,商業地域,80,500,平成27年第３四半期,未改装を購入
10,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,440000000,,オープンフロア,440,,,,,平成5年,ＳＲＣ,事務所,事務所,,,,商業地域,80,500,平成27年第３四半期,未改装を購入
11,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,280000000,,オープンフロア,240,,,,,平成5年,ＳＲＣ,事務所,その他,,,,商業地域,80,500,平成27年第３四半期,未改装を購入
12,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,520000000,,オープンフロア,440,,,,,平成5年,ＳＲＣ,事務所,事務所,,,,商業地域,80,500,平成27年第３四半期,改装済を購入
13,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,10,210000000,4500000,,155,1300000,長方形,10.6,,,,,住宅,南,区道,5.5,第１種住居地域,60,300,平成27年第２四半期,
14,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,13,140000000,4600000,,105,1400000,台形,11.5,,,,,住宅,南西,区道,7.8,第１種低層住居専用地域,60,150,平成27年第２四半期,
15,宅地(土地と建物),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,10,290000000,,,100,,正方形,10,280,平成27年,ＲＣ,共同住宅、店舗,住宅,西,区道,7.1,第１種住居地域,60,300,平成27年第１四半期,
16,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,21000000,,２ＤＫ,35,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成27年第１四半期,改装済を購入
17,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,62000000,,２ＬＤＫ,70,,,,,平成11年,ＲＣ,住宅,住宅,,,,商業地域,80,500,平成27年第１四半期,未改装を購入
18,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,18000000,,２ＤＫ,35,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成27年第１四半期,未改装を購入
19,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成27年第１四半期,未改装を購入
20,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,19000000,,２ＤＫ,35,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成26年第４四半期,未改装を購入
21,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,21000000,,２ＬＤＫ,45,,,,,昭和43年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成26年第４四半期,未改装を購入
22,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,39000000,,１Ｋ,40,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成26年第３四半期,未改装を購入
23,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,13,55000000,,２ＬＤＫ,55,,,,,平成24年,ＲＣ,住宅,住宅,,,,第１種低層住居専用地域,60,150,平成26年第３四半期,
24,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,23000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成26年第３四半期,未改装を購入
25,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,20000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成26年第３四半期,
26,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,10,110000000,3600000,,100,1100000,正方形,10,,,,,住宅,西,区道,7.3,第１種住居地域,60,300,平成26年第２四半期,
27,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,9,45000000,,１ＬＤＫ,60,,,,,平成14年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成26年第１四半期,調停・競売等、未改装を購入
28,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,9,67000000,,,75,,,,,平成14年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成26年第１四半期,未改装を購入
29,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,9,170000000,2900000,,185,890000,ほぼ長方形,10.1,,,,,,北西,区道,7,第１種住居地域,60,300,平成25年第４四半期,
30,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,10,210000000,3600000,,190,1100000,長方形,10.5,,,,,,北西,区道,7.2,第１種住居地域,60,300,平成25年第４四半期,
31,宅地(土地と建物),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,7,80000000,,,65,,長方形,6,100,平成26年,木造,住宅,,東,区道,3.7,第１種住居地域,60,300,平成25年第４四半期,
32,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,21000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成25年第４四半期,未改装を購入
33,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,11,28000000,,２ＤＫ,45,,,,,昭和43年,ＳＲＣ,住宅,,,,,第２種住居地域,60,400,平成25年第４四半期,改装済を購入
34,宅地(土地と建物),商業地,13110,東京都,目黒区,青葉台,池尻大橋,8,960000000,,,370,,ほぼ台形,26.7,2000�u以上,平成2年,ＳＲＣ,事務所、店舗,,南西,都道,35,商業地域,80,500,平成25年第３四半期,
35,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,8,32000000,2200000,,45,670000,ほぼ長方形,4.5,,,,,,南西,区道,3.6,第１種住居地域,60,300,平成25年第２四半期,
36,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,16000000,,１Ｒ,25,,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80,500,平成25年第２四半期,
37,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,14000000,,１ＤＫ,25,,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80,500,平成25年第１四半期,未改装を購入
38,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,66000000,,３ＬＤＫ,85,,,,,平成11年,ＲＣ,住宅,,,,,商業地域,80,500,平成25年第１四半期,改装済を購入
39,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,10,17000000,,１ＤＫ,25,,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80,500,平成25年第１四半期,未改装を購入
40,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,55000000,,２ＬＤＫ,70,,,,,平成11年,ＲＣ,住宅,,,,,商業地域,80,500,平成25年第１四半期,改装済を購入
41,宅地(土地),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,10,120000000,1700000,,240,500000,ほぼ台形,,,,,,,南,私道,3.8,第１種住居地域,60,300,平成24年第４四半期,私道を含む取引
42,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,28000000,,１Ｋ,30,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,500,平成24年第４四半期,改装済を購入
43,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,54000000,,２ＬＤＫ,70,,,,,平成11年,ＲＣ,住宅,,,,,商業地域,80,500,平成24年第４四半期,未改装を購入
44,宅地(土地と建物),住宅地,13110,東京都,目黒区,青葉台,池尻大橋,9,200000000,,,210,,不整形,17,460,平成14年,ＲＣ,事務所,,南東,区道,7,第１種住居地域,60,300,平成24年第３四半期,
45,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,22000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,500,平成24年第２四半期,未改装を購入
46,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,22000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,500,平成24年第２四半期,未改装を購入
47,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,12,20000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,500,平成24年第１四半期,未改装を購入
48,中古マンション等,,13110,東京都,目黒区,青葉台,池尻大橋,8,66000000,,３ＬＤＫ,80,,,,,平成11年,ＲＣ,住宅,,,,,商業地域,80,500,平成24年第１四半期,未改装を購入
49,中古マンション等,,13110,東京都,目黒区,青葉台,渋谷,15,32000000,,３ＤＫ,50,,,,,昭和53年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成26年第１四半期,改装済を購入
50,中古マンション等,,13110,東京都,目黒区,青葉台,渋谷,15,25000000,,１ＬＤＫ,40,,,,,昭和53年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成25年第１四半期,改装済を購入
51,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,9,53000000,,１ＬＤＫ,40,,,,,平成22年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成29年第１四半期,未改装を購入
52,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,27000000,,１Ｋ,30,,,,,平成12年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成29年第１四半期,未改装を購入
53,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,22000000,,,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成29年第１四半期,未改装を購入
54,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成29年第１四半期,
55,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,55000000,,２ＬＤＫ,65,,,,,平成7年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成29年第１四半期,未改装を購入
56,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,11,27000000,,１Ｋ,20,,,,,平成15年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成29年第１四半期,改装済を購入
57,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,25000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成28年第４四半期,未改装を購入
58,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,52000000,,２ＬＤＫ,55,,,,,平成7年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成28年第４四半期,未改装を購入
59,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成28年第４四半期,未改装を購入
60,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,25000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成28年第４四半期,未改装を購入
61,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,4,18000000,,１Ｒ,20,,,,,昭和53年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成28年第３四半期,改装済を購入
62,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,4,56000000,,２ＬＤＫ,60,,,,,平成12年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成28年第３四半期,未改装を購入
63,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,5,23000000,,１Ｒ,30,,,,,平成12年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成28年第３四半期,
64,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,4,20000000,,１ＬＤＫ,40,,,,,平成12年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成28年第３四半期,未改装を購入
65,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成28年第３四半期,改装済を購入
66,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,5,44000000,,１ＬＤＫ,40,,,,,平成12年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成28年第２四半期,改装済を購入
67,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,5,35000000,,,40,,,,,平成12年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成28年第２四半期,
68,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,65000000,,３ＬＤＫ,65,,,,,平成7年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成28年第２四半期,改装済を購入
69,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,24000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成28年第１四半期,未改装を購入
70,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,24000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,その他,,,,商業地域,80,600,平成28年第１四半期,改装済を購入
71,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,22000000,,,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成28年第１四半期,
72,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,事務所,,,,商業地域,80,600,平成28年第１四半期,未改装を購入
73,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,10,100000000,,３ＬＤＫ,100,,,,,平成14年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成28年第１四半期,改装済を購入
74,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,24000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成28年第１四半期,未改装を購入
75,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,10,130000000,,２ＬＤＫ,85,,,,,平成14年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成28年第１四半期,改装済を購入
76,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,4,22000000,,１Ｒ,30,,,,,平成12年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第４四半期,未改装を購入
77,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,50000000,,２ＬＤＫ,50,,,,,平成7年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成27年第４四半期,未改装を購入
78,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,55000000,,,55,,,,,平成7年,,住宅,住宅,,,,第２種住居地域,60,400,平成27年第４四半期,未改装を購入
79,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,70000000,,２ＬＤＫ,130,,,,,平成2年,ＲＣ,住宅,,,,,第１種住居地域,60,300,平成27年第３四半期,未改装を購入
80,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,23000000,,１ＤＫ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第３四半期,改装済を購入
81,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第３四半期,未改装を購入
82,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,25000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第３四半期,改装済を購入
83,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,22000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第３四半期,改装済を購入
84,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,22000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第３四半期,改装済を購入
85,宅地(土地と建物),住宅地,13110,東京都,目黒区,青葉台,神泉,7,280000000,,,230,,ほぼ整形,15,380,平成3年,ＲＣ,事務所,事務所,南西,区道,3.1,第１種住居地域,60,300,平成27年第２四半期,
86,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第２四半期,未改装を購入
87,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,27000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成27年第２四半期,未改装を購入
88,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,24000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第２四半期,未改装を購入
89,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,9,48000000,,１ＬＤＫ,40,,,,,平成22年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成27年第２四半期,未改装を購入
90,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,8,46000000,,１ＬＤＫ,50,,,,,平成7年,ＲＣ,住宅,住宅,,,,第２種住居地域,60,400,平成27年第１四半期,改装済を購入
91,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第１四半期,未改装を購入
92,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,3,50000000,,２ＬＤＫ,60,,,,,,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成27年第１四半期,改装済を購入
93,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,22000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第１四半期,改装済を購入
94,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,95000000,,２ＬＤＫ,125,,,,,平成3年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成27年第１四半期,改装済を購入
95,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,24000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第１四半期,未改装を購入
96,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,24000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成27年第１四半期,改装済を購入
97,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成26年第４四半期,未改装を購入
98,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,20000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成26年第４四半期,未改装を購入
99,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,11,25000000,,１ＤＫ,25,,,,,平成15年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成26年第３四半期,未改装を購入
100,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,22000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成26年第３四半期,未改装を購入
101,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,4,23000000,,１ＤＫ,45,,,,,昭和53年,ＳＲＣ,住宅,住宅,,,,商業地域,80,500,平成26年第３四半期,未改装を購入
102,宅地(土地と建物),住宅地,13110,東京都,目黒区,青葉台,神泉,7,110000000,,,230,,ほぼ長方形,15,380,平成3年,ＲＣ,事務所,事務所,南東,私道,4,第１種住居地域,60,300,平成26年第２四半期,その他事情有り
103,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,5,22000000,,１Ｒ,30,,,,,平成12年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成26年第２四半期,未改装を購入
104,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,4,41000000,,２ＬＤＫ,45,,,,,平成8年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成26年第２四半期,未改装を購入
105,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,22000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,住宅,,,,商業地域,80,600,平成26年第２四半期,未改装を購入
106,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,8,24000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成26年第１四半期,改装済を購入
107,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,4,24000000,,１Ｋ,30,,,,,平成12年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成26年第１四半期,未改装を購入
108,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,4,34000000,,２ＬＤＫ,65,,,,,昭和53年,ＳＲＣ,住宅,,,,,商業地域,80,500,平成26年第１四半期,
109,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,28000000,,１ＬＤＫ,30,,,,,平成11年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成26年第１四半期,未改装を購入
110,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,9,98000000,,３ＬＤＫ,80,,,,,平成22年,ＲＣ,住宅,住宅,,,,第１種住居地域,60,300,平成26年第１四半期,
111,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,23000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成25年第４四半期,未改装を購入
112,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,22000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成25年第４四半期,未改装を購入
113,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,32000000,,２ＬＤＫ,55,,,,,昭和43年,ＳＲＣ,住宅,,,,,第２種住居地域,60,400,平成25年第２四半期,改装済を購入
114,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,8,21000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成25年第２四半期,未改装を購入
115,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,19000000,,１Ｒ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成25年第２四半期,未改装を購入
116,宅地(土地と建物),商業地,13110,東京都,目黒区,青葉台,神泉,6,1800000000,,,770,,ほぼ台形,26,2000�u以上,昭和61年,ＳＲＣ,事務所,,南東,国道,40,商業地域,80,600,平成25年第１四半期,
117,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,20000000,,１ＬＤＫ,35,,,,,昭和43年,ＳＲＣ,住宅,,,,,第２種住居地域,60,400,平成24年第４四半期,未改装を購入
118,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,8,20000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成24年第４四半期,未改装を購入
119,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,16000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成24年第４四半期,未改装を購入
120,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,10,77000000,,２ＬＤＫ,95,,,,,平成14年,ＲＣ,住宅,,,,,第１種住居地域,60,300,平成24年第４四半期,未改装を購入
121,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,22000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成24年第４四半期,未改装を購入
122,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,17000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成24年第４四半期,
123,宅地(土地と建物),住宅地,13110,東京都,目黒区,青葉台,神泉,9,720000000,,,670,,ほぼ長方形,37.5,1700,平成14年,ＲＣ,共同住宅,,西,区道,5.4,第１種住居地域,60,300,平成24年第３四半期,
124,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,8,22000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成24年第３四半期,未改装を購入
125,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,8,23000000,,１ＤＫ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成24年第２四半期,改装済を購入
126,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,73000000,,３ＬＤＫ,75,,,,,平成24年,ＲＣ,住宅,,,,,第１種住居地域,60,300,平成24年第２四半期,未改装を購入
127,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,16000000,,１ＤＫ,30,,,,,昭和43年,ＳＲＣ,住宅,,,,,第２種住居地域,60,400,平成24年第２四半期,改装済を購入
128,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,8,20000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成24年第２四半期,
129,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,5,43000000,,２ＬＤＫ,60,,,,,平成11年,ＳＲＣ,住宅,,,,,商業地域,80,500,平成24年第２四半期,未改装を購入
130,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,4,41000000,,２ＤＫ,55,,,,,平成10年,ＲＣ,住宅,,,,,第１種住居地域,60,300,平成24年第２四半期,未改装を購入
131,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,6,36000000,,１ＬＤＫ＋Ｓ,50,,,,,平成7年,ＳＲＣ,住宅,,,,,第２種住居地域,60,400,平成24年第１四半期,改装済を購入
132,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,8,17000000,,１Ｋ,20,,,,,平成13年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成24年第１四半期,未改装を購入
133,中古マンション等,,13110,東京都,目黒区,青葉台,神泉,7,21000000,,１Ｋ,20,,,,,平成17年,ＳＲＣ,住宅,,,,,商業地域,80,600,平成24年第１四半期,未改装を購入
